State,Year,Open carry index,Concealed carry index,"Assault weapons ban? (1=yes, 0.5=locally, 0=no)","""Saturday Night Special"" ban? (1=yes, 0=no)","Large capacity ammunition magazines ban? (1=yes, 0.5=locally, 0=no)","50 caliber rifles banned or regulated? (1=banned, 0.5=regulated, 0=no)",Local gun ban in place?,"Waiting period on firearms purchases? (1=all firearms, 0.5=some firearms, 0=no)","Restrictions on multiple purchases or sales of firearms? (1=yes, 0.5=locally, 0=no)","Background checks required at private sales or gun shows? (1=yes, 0.5=locally, 0=no)",Hide
State,Year,Boci,Bcci,Basslt,bsat,Bmags,Brifle,Bgunban,Bwait,Bmult,Bpriv,Yes
Texas,2010,0.9,7.2,0,0,0,0,0,0,0,0,
Utah,2010,4.5,7.2,0,0,0,0,0,0,0,0,
Vermont,2010,9,9,0,0,0,0,0,0,0,0,
Virginia,2010,8.775,7.2,0,0,0,0,0,0,1,0,
Washington,2010,8.55,7.2,0,0,0,0,0,0,0,0,
West Virginia,2010,6.58125,6.48,0,0,0,0,0,0,0,0,
Wisconsin,2010,8.1,6.48,0,0,0,0,0,0.5,0,0,
Wyoming,2010,9,9,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
